,emoji,group,subgroup,name,qualified_status,edition,codepoint_readable,utf8_codepoint
3180,🐙,Animals & Nature,animal-marine,octopus,fully-qualified,E0.6,1F419,\U0001f419
3181,🐚,Animals & Nature,animal-marine,spiral shell,fully-qualified,E0.6,1F41A,\U0001f41a
3182,🐌,Animals & Nature,animal-bug,snail,fully-qualified,E0.6,1F40C,\U0001f40c
3183,🦋,Animals & Nature,animal-bug,butterfly,fully-qualified,E3.0,1F98B,\U0001f98b
3184,🐛,Animals & Nature,animal-bug,bug,fully-qualified,E0.6,1F41B,\U0001f41b
3185,🐜,Animals & Nature,animal-bug,ant,fully-qualified,E0.6,1F41C,\U0001f41c
3186,🐝,Animals & Nature,animal-bug,honeybee,fully-qualified,E0.6,1F41D,\U0001f41d
3187,🪲,Animals & Nature,animal-bug,beetle,fully-qualified,E13.0,1FAB2,\U0001fab2
3188,🐞,Animals & Nature,animal-bug,lady beetle,fully-qualified,E0.6,1F41E,\U0001f41e
3189,🦗,Animals & Nature,animal-bug,cricket,fully-qualified,E5.0,1F997,\U0001f997
3190,🪳,Animals & Nature,animal-bug,cockroach,fully-qualified,E13.0,1FAB3,\U0001fab3
3191,🕷️,Animals & Nature,animal-bug,spider,fully-qualified,E0.7,1F577 FE0F,\U0001f577\ufe0f
3192,🕷,Animals & Nature,animal-bug,spider,unqualified,E0.7,1F577,\U0001f577
3193,🕸️,Animals & Nature,animal-bug,spider web,fully-qualified,E0.7,1F578 FE0F,\U0001f578\ufe0f
3194,🕸,Animals & Nature,animal-bug,spider web,unqualified,E0.7,1F578,\U0001f578
3195,🦂,Animals & Nature,animal-bug,scorpion,fully-qualified,E1.0,1F982,\U0001f982
3196,🦟,Animals & Nature,animal-bug,mosquito,fully-qualified,E11.0,1F99F,\U0001f99f
3197,🪰,Animals & Nature,animal-bug,fly,fully-qualified,E13.0,1FAB0,\U0001fab0
3198,🪱,Animals & Nature,animal-bug,worm,fully-qualified,E13.0,1FAB1,\U0001fab1
3199,🦠,Animals & Nature,animal-bug,microbe,fully-qualified,E11.0,1F9A0,\U0001f9a0
3200,💐,Animals & Nature,plant-flower,bouquet,fully-qualified,E0.6,1F490,\U0001f490
3201,🌸,Animals & Nature,plant-flower,cherry blossom,fully-qualified,E0.6,1F338,\U0001f338
3202,💮,Animals & Nature,plant-flower,white flower,fully-qualified,E0.6,1F4AE,\U0001f4ae
3203,🏵️,Animals & Nature,plant-flower,rosette,fully-qualified,E0.7,1F3F5 FE0F,\U0001f3f5\ufe0f
3204,🏵,Animals & Nature,plant-flower,rosette,unqualified,E0.7,1F3F5,\U0001f3f5
3205,🌹,Animals & Nature,plant-flower,rose,fully-qualified,E0.6,1F339,\U0001f339
3206,🥀,Animals & Nature,plant-flower,wilted flower,fully-qualified,E3.0,1F940,\U0001f940
3207,🌺,Animals & Nature,plant-flower,hibiscus,fully-qualified,E0.6,1F33A,\U0001f33a
3208,🌻,Animals & Nature,plant-flower,sunflower,fully-qualified,E0.6,1F33B,\U0001f33b
3209,🌼,Animals & Nature,plant-flower,blossom,fully-qualified,E0.6,1F33C,\U0001f33c
3210,🌷,Animals & Nature,plant-flower,tulip,fully-qualified,E0.6,1F337,\U0001f337
3211,🌱,Animals & Nature,plant-other,seedling,fully-qualified,E0.6,1F331,\U0001f331
3212,🪴,Animals & Nature,plant-other,potted plant,fully-qualified,E13.0,1FAB4,\U0001fab4
3213,🌲,Animals & Nature,plant-other,evergreen tree,fully-qualified,E1.0,1F332,\U0001f332
3214,🌳,Animals & Nature,plant-other,deciduous tree,fully-qualified,E1.0,1F333,\U0001f333
3215,🌴,Animals & Nature,plant-other,palm tree,fully-qualified,E0.6,1F334,\U0001f334
3216,🌵,Animals & Nature,plant-other,cactus,fully-qualified,E0.6,1F335,\U0001f335
3217,🌾,Animals & Nature,plant-other,sheaf of rice,fully-qualified,E0.6,1F33E,\U0001f33e
3218,🌿,Animals & Nature,plant-other,herb,fully-qualified,E0.6,1F33F,\U0001f33f
3219,☘️,Animals & Nature,plant-other,shamrock,fully-qualified,E1.0,2618 FE0F,\u2618\ufe0f
3220,☘,Animals & Nature,plant-other,shamrock,unqualified,E1.0,2618,\u2618
3221,🍀,Animals & Nature,plant-other,four leaf clover,fully-qualified,E0.6,1F340,\U0001f340
3222,🍁,Animals & Nature,plant-other,maple leaf,fully-qualified,E0.6,1F341,\U0001f341
3223,🍂,Animals & Nature,plant-other,fallen leaf,fully-qualified,E0.6,1F342,\U0001f342
3224,🍃,Animals & Nature,plant-other,leaf fluttering in wind,fully-qualified,E0.6,1F343,\U0001f343
3225,🍇,Food & Drink,food-fruit,grapes,fully-qualified,E0.6,1F347,\U0001f347
3226,🍈,Food & Drink,food-fruit,melon,fully-qualified,E0.6,1F348,\U0001f348
3227,🍉,Food & Drink,food-fruit,watermelon,fully-qualified,E0.6,1F349,\U0001f349
3228,🍊,Food & Drink,food-fruit,tangerine,fully-qualified,E0.6,1F34A,\U0001f34a
3229,🍋,Food & Drink,food-fruit,lemon,fully-qualified,E1.0,1F34B,\U0001f34b
3230,🍌,Food & Drink,food-fruit,banana,fully-qualified,E0.6,1F34C,\U0001f34c
3231,🍍,Food & Drink,food-fruit,pineapple,fully-qualified,E0.6,1F34D,\U0001f34d
3232,🥭,Food & Drink,food-fruit,mango,fully-qualified,E11.0,1F96D,\U0001f96d
3233,🍎,Food & Drink,food-fruit,red apple,fully-qualified,E0.6,1F34E,\U0001f34e
3234,🍏,Food & Drink,food-fruit,green apple,fully-qualified,E0.6,1F34F,\U0001f34f
3235,🍐,Food & Drink,food-fruit,pear,fully-qualified,E1.0,1F350,\U0001f350
3236,🍑,Food & Drink,food-fruit,peach,fully-qualified,E0.6,1F351,\U0001f351
3237,🍒,Food & Drink,food-fruit,cherries,fully-qualified,E0.6,1F352,\U0001f352
3238,🍓,Food & Drink,food-fruit,strawberry,fully-qualified,E0.6,1F353,\U0001f353
3239,🫐,Food & Drink,food-fruit,blueberries,fully-qualified,E13.0,1FAD0,\U0001fad0
3240,🥝,Food & Drink,food-fruit,kiwi fruit,fully-qualified,E3.0,1F95D,\U0001f95d
3241,🍅,Food & Drink,food-fruit,tomato,fully-qualified,E0.6,1F345,\U0001f345
3242,🫒,Food & Drink,food-fruit,olive,fully-qualified,E13.0,1FAD2,\U0001fad2
3243,🥥,Food & Drink,food-fruit,coconut,fully-qualified,E5.0,1F965,\U0001f965
3244,🥑,Food & Drink,food-vegetable,avocado,fully-qualified,E3.0,1F951,\U0001f951
3245,🍆,Food & Drink,food-vegetable,eggplant,fully-qualified,E0.6,1F346,\U0001f346
3246,🥔,Food & Drink,food-vegetable,potato,fully-qualified,E3.0,1F954,\U0001f954
3247,🥕,Food & Drink,food-vegetable,carrot,fully-qualified,E3.0,1F955,\U0001f955
3248,🌽,Food & Drink,food-vegetable,ear of corn,fully-qualified,E0.6,1F33D,\U0001f33d
3249,🌶️,Food & Drink,food-vegetable,hot pepper,fully-qualified,E0.7,1F336 FE0F,\U0001f336\ufe0f
3250,🌶,Food & Drink,food-vegetable,hot pepper,unqualified,E0.7,1F336,\U0001f336
3251,🫑,Food & Drink,food-vegetable,bell pepper,fully-qualified,E13.0,1FAD1,\U0001fad1
3252,🥒,Food & Drink,food-vegetable,cucumber,fully-qualified,E3.0,1F952,\U0001f952
3253,🥬,Food & Drink,food-vegetable,leafy green,fully-qualified,E11.0,1F96C,\U0001f96c
3254,🥦,Food & Drink,food-vegetable,broccoli,fully-qualified,E5.0,1F966,\U0001f966
3255,🧄,Food & Drink,food-vegetable,garlic,fully-qualified,E12.0,1F9C4,\U0001f9c4
3256,🧅,Food & Drink,food-vegetable,onion,fully-qualified,E12.0,1F9C5,\U0001f9c5
3257,🍄,Food & Drink,food-vegetable,mushroom,fully-qualified,E0.6,1F344,\U0001f344
3258,🥜,Food & Drink,food-vegetable,peanuts,fully-qualified,E3.0,1F95C,\U0001f95c
3259,🌰,Food & Drink,food-vegetable,chestnut,fully-qualified,E0.6,1F330,\U0001f330
3260,🍞,Food & Drink,food-prepared,bread,fully-qualified,E0.6,1F35E,\U0001f35e
3261,🥐,Food & Drink,food-prepared,croissant,fully-qualified,E3.0,1F950,\U0001f950
3262,🥖,Food & Drink,food-prepared,baguette bread,fully-qualified,E3.0,1F956,\U0001f956
3263,🫓,Food & Drink,food-prepared,flatbread,fully-qualified,E13.0,1FAD3,\U0001fad3
3264,🥨,Food & Drink,food-prepared,pretzel,fully-qualified,E5.0,1F968,\U0001f968
3265,🥯,Food & Drink,food-prepared,bagel,fully-qualified,E11.0,1F96F,\U0001f96f
3266,🥞,Food & Drink,food-prepared,pancakes,fully-qualified,E3.0,1F95E,\U0001f95e
3267,🧇,Food & Drink,food-prepared,waffle,fully-qualified,E12.0,1F9C7,\U0001f9c7
3268,🧀,Food & Drink,food-prepared,cheese wedge,fully-qualified,E1.0,1F9C0,\U0001f9c0
3269,🍖,Food & Drink,food-prepared,meat on bone,fully-qualified,E0.6,1F356,\U0001f356
3270,🍗,Food & Drink,food-prepared,poultry leg,fully-qualified,E0.6,1F357,\U0001f357
3271,🥩,Food & Drink,food-prepared,cut of meat,fully-qualified,E5.0,1F969,\U0001f969
3272,🥓,Food & Drink,food-prepared,bacon,fully-qualified,E3.0,1F953,\U0001f953
3273,🍔,Food & Drink,food-prepared,hamburger,fully-qualified,E0.6,1F354,\U0001f354
3274,🍟,Food & Drink,food-prepared,french fries,fully-qualified,E0.6,1F35F,\U0001f35f
3275,🍕,Food & Drink,food-prepared,pizza,fully-qualified,E0.6,1F355,\U0001f355
3276,🌭,Food & Drink,food-prepared,hot dog,fully-qualified,E1.0,1F32D,\U0001f32d
3277,🥪,Food & Drink,food-prepared,sandwich,fully-qualified,E5.0,1F96A,\U0001f96a
3278,🌮,Food & Drink,food-prepared,taco,fully-qualified,E1.0,1F32E,\U0001f32e
3279,🌯,Food & Drink,food-prepared,burrito,fully-qualified,E1.0,1F32F,\U0001f32f
3280,🫔,Food & Drink,food-prepared,tamale,fully-qualified,E13.0,1FAD4,\U0001fad4
3281,🥙,Food & Drink,food-prepared,stuffed flatbread,fully-qualified,E3.0,1F959,\U0001f959
3282,🧆,Food & Drink,food-prepared,falafel,fully-qualified,E12.0,1F9C6,\U0001f9c6
3283,🥚,Food & Drink,food-prepared,egg,fully-qualified,E3.0,1F95A,\U0001f95a
3284,🍳,Food & Drink,food-prepared,cooking,fully-qualified,E0.6,1F373,\U0001f373
3285,🥘,Food & Drink,food-prepared,shallow pan of food,fully-qualified,E3.0,1F958,\U0001f958
3286,🍲,Food & Drink,food-prepared,pot of food,fully-qualified,E0.6,1F372,\U0001f372
3287,🫕,Food & Drink,food-prepared,fondue,fully-qualified,E13.0,1FAD5,\U0001fad5
3288,🥣,Food & Drink,food-prepared,bowl with spoon,fully-qualified,E5.0,1F963,\U0001f963
3289,🥗,Food & Drink,food-prepared,green salad,fully-qualified,E3.0,1F957,\U0001f957
3290,🍿,Food & Drink,food-prepared,popcorn,fully-qualified,E1.0,1F37F,\U0001f37f
3291,🧈,Food & Drink,food-prepared,butter,fully-qualified,E12.0,1F9C8,\U0001f9c8
3292,🧂,Food & Drink,food-prepared,salt,fully-qualified,E11.0,1F9C2,\U0001f9c2
3293,🥫,Food & Drink,food-prepared,canned food,fully-qualified,E5.0,1F96B,\U0001f96b
3294,🍱,Food & Drink,food-asian,bento box,fully-qualified,E0.6,1F371,\U0001f371
3295,🍘,Food & Drink,food-asian,rice cracker,fully-qualified,E0.6,1F358,\U0001f358
3296,🍙,Food & Drink,food-asian,rice ball,fully-qualified,E0.6,1F359,\U0001f359
3297,🍚,Food & Drink,food-asian,cooked rice,fully-qualified,E0.6,1F35A,\U0001f35a
3298,🍛,Food & Drink,food-asian,curry rice,fully-qualified,E0.6,1F35B,\U0001f35b
3299,🍜,Food & Drink,food-asian,steaming bowl,fully-qualified,E0.6,1F35C,\U0001f35c
3300,🍝,Food & Drink,food-asian,spaghetti,fully-qualified,E0.6,1F35D,\U0001f35d
3301,🍠,Food & Drink,food-asian,roasted sweet potato,fully-qualified,E0.6,1F360,\U0001f360
3302,🍢,Food & Drink,food-asian,oden,fully-qualified,E0.6,1F362,\U0001f362
3303,🍣,Food & Drink,food-asian,sushi,fully-qualified,E0.6,1F363,\U0001f363
3304,🍤,Food & Drink,food-asian,fried shrimp,fully-qualified,E0.6,1F364,\U0001f364
3305,🍥,Food & Drink,food-asian,fish cake with swirl,fully-qualified,E0.6,1F365,\U0001f365
3306,🥮,Food & Drink,food-asian,moon cake,fully-qualified,E11.0,1F96E,\U0001f96e
3307,🍡,Food & Drink,food-asian,dango,fully-qualified,E0.6,1F361,\U0001f361
3308,🥟,Food & Drink,food-asian,dumpling,fully-qualified,E5.0,1F95F,\U0001f95f
3309,🥠,Food & Drink,food-asian,fortune cookie,fully-qualified,E5.0,1F960,\U0001f960
3310,🥡,Food & Drink,food-asian,takeout box,fully-qualified,E5.0,1F961,\U0001f961
3311,🦀,Food & Drink,food-marine,crab,fully-qualified,E1.0,1F980,\U0001f980
3312,🦞,Food & Drink,food-marine,lobster,fully-qualified,E11.0,1F99E,\U0001f99e
3313,🦐,Food & Drink,food-marine,shrimp,fully-qualified,E3.0,1F990,\U0001f990
3314,🦑,Food & Drink,food-marine,squid,fully-qualified,E3.0,1F991,\U0001f991
3315,🦪,Food & Drink,food-marine,oyster,fully-qualified,E12.0,1F9AA,\U0001f9aa
3316,🍦,Food & Drink,food-sweet,soft ice cream,fully-qualified,E0.6,1F366,\U0001f366
3317,🍧,Food & Drink,food-sweet,shaved ice,fully-qualified,E0.6,1F367,\U0001f367
3318,🍨,Food & Drink,food-sweet,ice cream,fully-qualified,E0.6,1F368,\U0001f368
3319,🍩,Food & Drink,food-sweet,doughnut,fully-qualified,E0.6,1F369,\U0001f369
3320,🍪,Food & Drink,food-sweet,cookie,fully-qualified,E0.6,1F36A,\U0001f36a
3321,🎂,Food & Drink,food-sweet,birthday cake,fully-qualified,E0.6,1F382,\U0001f382
3322,🍰,Food & Drink,food-sweet,shortcake,fully-qualified,E0.6,1F370,\U0001f370
3323,🧁,Food & Drink,food-sweet,cupcake,fully-qualified,E11.0,1F9C1,\U0001f9c1
3324,🥧,Food & Drink,food-sweet,pie,fully-qualified,E5.0,1F967,\U0001f967
3325,🍫,Food & Drink,food-sweet,chocolate bar,fully-qualified,E0.6,1F36B,\U0001f36b
3326,🍬,Food & Drink,food-sweet,candy,fully-qualified,E0.6,1F36C,\U0001f36c
3327,🍭,Food & Drink,food-sweet,lollipop,fully-qualified,E0.6,1F36D,\U0001f36d
3328,🍮,Food & Drink,food-sweet,custard,fully-qualified,E0.6,1F36E,\U0001f36e
3329,🍯,Food & Drink,food-sweet,honey pot,fully-qualified,E0.6,1F36F,\U0001f36f
3330,🍼,Food & Drink,drink,baby bottle,fully-qualified,E1.0,1F37C,\U0001f37c
3331,🥛,Food & Drink,drink,glass of milk,fully-qualified,E3.0,1F95B,\U0001f95b
3332,☕,Food & Drink,drink,hot beverage,fully-qualified,E0.6,2615,\u2615
3333,🫖,Food & Drink,drink,teapot,fully-qualified,E13.0,1FAD6,\U0001fad6
3334,🍵,Food & Drink,drink,teacup without handle,fully-qualified,E0.6,1F375,\U0001f375
3335,🍶,Food & Drink,drink,sake,fully-qualified,E0.6,1F376,\U0001f376
3336,🍾,Food & Drink,drink,bottle with popping cork,fully-qualified,E1.0,1F37E,\U0001f37e
3337,🍷,Food & Drink,drink,wine glass,fully-qualified,E0.6,1F377,\U0001f377
3338,🍸,Food & Drink,drink,cocktail glass,fully-qualified,E0.6,1F378,\U0001f378
3339,🍹,Food & Drink,drink,tropical drink,fully-qualified,E0.6,1F379,\U0001f379
3340,🍺,Food & Drink,drink,beer mug,fully-qualified,E0.6,1F37A,\U0001f37a
3341,🍻,Food & Drink,drink,clinking beer mugs,fully-qualified,E0.6,1F37B,\U0001f37b
3342,🥂,Food & Drink,drink,clinking glasses,fully-qualified,E3.0,1F942,\U0001f942
3343,🥃,Food & Drink,drink,tumbler glass,fully-qualified,E3.0,1F943,\U0001f943
3344,🥤,Food & Drink,drink,cup with straw,fully-qualified,E5.0,1F964,\U0001f964
3345,🧋,Food & Drink,drink,bubble tea,fully-qualified,E13.0,1F9CB,\U0001f9cb
3346,🧃,Food & Drink,drink,beverage box,fully-qualified,E12.0,1F9C3,\U0001f9c3
3347,🧉,Food & Drink,drink,mate,fully-qualified,E12.0,1F9C9,\U0001f9c9
3348,🧊,Food & Drink,drink,ice,fully-qualified,E12.0,1F9CA,\U0001f9ca
3349,🥢,Food & Drink,dishware,chopsticks,fully-qualified,E5.0,1F962,\U0001f962
3350,🍽️,Food & Drink,dishware,fork and knife with plate,fully-qualified,E0.7,1F37D FE0F,\U0001f37d\ufe0f
3351,🍽,Food & Drink,dishware,fork and knife with plate,unqualified,E0.7,1F37D,\U0001f37d
3352,🍴,Food & Drink,dishware,fork and knife,fully-qualified,E0.6,1F374,\U0001f374
3353,🥄,Food & Drink,dishware,spoon,fully-qualified,E3.0,1F944,\U0001f944
3354,🔪,Food & Drink,dishware,kitchen knife,fully-qualified,E0.6,1F52A,\U0001f52a
3355,🏺,Food & Drink,dishware,amphora,fully-qualified,E1.0,1F3FA,\U0001f3fa
3356,🌍,Travel & Places,place-map,globe showing Europe-Africa,fully-qualified,E0.7,1F30D,\U0001f30d
3357,🌎,Travel & Places,place-map,globe showing Americas,fully-qualified,E0.7,1F30E,\U0001f30e
3358,🌏,Travel & Places,place-map,globe showing Asia-Australia,fully-qualified,E0.6,1F30F,\U0001f30f
3359,🌐,Travel & Places,place-map,globe with meridians,fully-qualified,E1.0,1F310,\U0001f310
3360,🗺️,Travel & Places,place-map,world map,fully-qualified,E0.7,1F5FA FE0F,\U0001f5fa\ufe0f
3361,🗺,Travel & Places,place-map,world map,unqualified,E0.7,1F5FA,\U0001f5fa
3362,🗾,Travel & Places,place-map,map of Japan,fully-qualified,E0.6,1F5FE,\U0001f5fe
3363,🧭,Travel & Places,place-map,compass,fully-qualified,E11.0,1F9ED,\U0001f9ed
3364,🏔️,Travel & Places,place-geographic,snow-capped mountain,fully-qualified,E0.7,1F3D4 FE0F,\U0001f3d4\ufe0f
3365,🏔,Travel & Places,place-geographic,snow-capped mountain,unqualified,E0.7,1F3D4,\U0001f3d4
3366,⛰️,Travel & Places,place-geographic,mountain,fully-qualified,E0.7,26F0 FE0F,\u26f0\ufe0f
3367,⛰,Travel & Places,place-geographic,mountain,unqualified,E0.7,26F0,\u26f0
3368,🌋,Travel & Places,place-geographic,volcano,fully-qualified,E0.6,1F30B,\U0001f30b
3369,🗻,Travel & Places,place-geographic,mount fuji,fully-qualified,E0.6,1F5FB,\U0001f5fb
3370,🏕️,Travel & Places,place-geographic,camping,fully-qualified,E0.7,1F3D5 FE0F,\U0001f3d5\ufe0f
3371,🏕,Travel & Places,place-geographic,camping,unqualified,E0.7,1F3D5,\U0001f3d5
3372,🏖️,Travel & Places,place-geographic,beach with umbrella,fully-qualified,E0.7,1F3D6 FE0F,\U0001f3d6\ufe0f
3373,🏖,Travel & Places,place-geographic,beach with umbrella,unqualified,E0.7,1F3D6,\U0001f3d6
3374,🏜️,Travel & Places,place-geographic,desert,fully-qualified,E0.7,1F3DC FE0F,\U0001f3dc\ufe0f
3375,🏜,Travel & Places,place-geographic,desert,unqualified,E0.7,1F3DC,\U0001f3dc
3376,🏝️,Travel & Places,place-geographic,desert island,fully-qualified,E0.7,1F3DD FE0F,\U0001f3dd\ufe0f
3377,🏝,Travel & Places,place-geographic,desert island,unqualified,E0.7,1F3DD,\U0001f3dd
3378,🏞️,Travel & Places,place-geographic,national park,fully-qualified,E0.7,1F3DE FE0F,\U0001f3de\ufe0f
3379,🏞,Travel & Places,place-geographic,national park,unqualified,E0.7,1F3DE,\U0001f3de
3380,🏟️,Travel & Places,place-building,stadium,fully-qualified,E0.7,1F3DF FE0F,\U0001f3df\ufe0f
3381,🏟,Travel & Places,place-building,stadium,unqualified,E0.7,1F3DF,\U0001f3df
3382,🏛️,Travel & Places,place-building,classical building,fully-qualified,E0.7,1F3DB FE0F,\U0001f3db\ufe0f
3383,🏛,Travel & Places,place-building,classical building,unqualified,E0.7,1F3DB,\U0001f3db
3384,🏗️,Travel & Places,place-building,building construction,fully-qualified,E0.7,1F3D7 FE0F,\U0001f3d7\ufe0f
3385,🏗,Travel & Places,place-building,building construction,unqualified,E0.7,1F3D7,\U0001f3d7
3386,🧱,Travel & Places,place-building,brick,fully-qualified,E11.0,1F9F1,\U0001f9f1
3387,🪨,Travel & Places,place-building,rock,fully-qualified,E13.0,1FAA8,\U0001faa8
3388,🪵,Travel & Places,place-building,wood,fully-qualified,E13.0,1FAB5,\U0001fab5
3389,🛖,Travel & Places,place-building,hut,fully-qualified,E13.0,1F6D6,\U0001f6d6
3390,🏘️,Travel & Places,place-building,houses,fully-qualified,E0.7,1F3D8 FE0F,\U0001f3d8\ufe0f
3391,🏘,Travel & Places,place-building,houses,unqualified,E0.7,1F3D8,\U0001f3d8
3392,🏚️,Travel & Places,place-building,derelict house,fully-qualified,E0.7,1F3DA FE0F,\U0001f3da\ufe0f
3393,🏚,Travel & Places,place-building,derelict house,unqualified,E0.7,1F3DA,\U0001f3da
3394,🏠,Travel & Places,place-building,house,fully-qualified,E0.6,1F3E0,\U0001f3e0
3395,🏡,Travel & Places,place-building,house with garden,fully-qualified,E0.6,1F3E1,\U0001f3e1
3396,🏢,Travel & Places,place-building,office building,fully-qualified,E0.6,1F3E2,\U0001f3e2
3397,🏣,Travel & Places,place-building,Japanese post office,fully-qualified,E0.6,1F3E3,\U0001f3e3
3398,🏤,Travel & Places,place-building,post office,fully-qualified,E1.0,1F3E4,\U0001f3e4
3399,🏥,Travel & Places,place-building,hospital,fully-qualified,E0.6,1F3E5,\U0001f3e5
3400,🏦,Travel & Places,place-building,bank,fully-qualified,E0.6,1F3E6,\U0001f3e6
3401,🏨,Travel & Places,place-building,hotel,fully-qualified,E0.6,1F3E8,\U0001f3e8
3402,🏩,Travel & Places,place-building,love hotel,fully-qualified,E0.6,1F3E9,\U0001f3e9
3403,🏪,Travel & Places,place-building,convenience store,fully-qualified,E0.6,1F3EA,\U0001f3ea
3404,🏫,Travel & Places,place-building,school,fully-qualified,E0.6,1F3EB,\U0001f3eb
3405,🏬,Travel & Places,place-building,department store,fully-qualified,E0.6,1F3EC,\U0001f3ec
3406,🏭,Travel & Places,place-building,factory,fully-qualified,E0.6,1F3ED,\U0001f3ed
3407,🏯,Travel & Places,place-building,Japanese castle,fully-qualified,E0.6,1F3EF,\U0001f3ef
3408,🏰,Travel & Places,place-building,castle,fully-qualified,E0.6,1F3F0,\U0001f3f0
3409,💒,Travel & Places,place-building,wedding,fully-qualified,E0.6,1F492,\U0001f492
3410,🗼,Travel & Places,place-building,Tokyo tower,fully-qualified,E0.6,1F5FC,\U0001f5fc
3411,🗽,Travel & Places,place-building,Statue of Liberty,fully-qualified,E0.6,1F5FD,\U0001f5fd
3412,⛪,Travel & Places,place-religious,church,fully-qualified,E0.6,26EA,\u26ea
3413,🕌,Travel & Places,place-religious,mosque,fully-qualified,E1.0,1F54C,\U0001f54c
3414,🛕,Travel & Places,place-religious,hindu temple,fully-qualified,E12.0,1F6D5,\U0001f6d5
3415,🕍,Travel & Places,place-religious,synagogue,fully-qualified,E1.0,1F54D,\U0001f54d
3416,⛩️,Travel & Places,place-religious,shinto shrine,fully-qualified,E0.7,26E9 FE0F,\u26e9\ufe0f
3417,⛩,Travel & Places,place-religious,shinto shrine,unqualified,E0.7,26E9,\u26e9
3418,🕋,Travel & Places,place-religious,kaaba,fully-qualified,E1.0,1F54B,\U0001f54b
3419,⛲,Travel & Places,place-other,fountain,fully-qualified,E0.6,26F2,\u26f2
3420,⛺,Travel & Places,place-other,tent,fully-qualified,E0.6,26FA,\u26fa
3421,🌁,Travel & Places,place-other,foggy,fully-qualified,E0.6,1F301,\U0001f301
3422,🌃,Travel & Places,place-other,night with stars,fully-qualified,E0.6,1F303,\U0001f303
3423,🏙️,Travel & Places,place-other,cityscape,fully-qualified,E0.7,1F3D9 FE0F,\U0001f3d9\ufe0f
3424,🏙,Travel & Places,place-other,cityscape,unqualified,E0.7,1F3D9,\U0001f3d9
3425,🌄,Travel & Places,place-other,sunrise over mountains,fully-qualified,E0.6,1F304,\U0001f304
3426,🌅,Travel & Places,place-other,sunrise,fully-qualified,E0.6,1F305,\U0001f305
3427,🌆,Travel & Places,place-other,cityscape at dusk,fully-qualified,E0.6,1F306,\U0001f306
3428,🌇,Travel & Places,place-other,sunset,fully-qualified,E0.6,1F307,\U0001f307
3429,🌉,Travel & Places,place-other,bridge at night,fully-qualified,E0.6,1F309,\U0001f309
3430,♨️,Travel & Places,place-other,hot springs,fully-qualified,E0.6,2668 FE0F,\u2668\ufe0f
3431,♨,Travel & Places,place-other,hot springs,unqualified,E0.6,2668,\u2668
3432,🎠,Travel & Places,place-other,carousel horse,fully-qualified,E0.6,1F3A0,\U0001f3a0
3433,🎡,Travel & Places,place-other,ferris wheel,fully-qualified,E0.6,1F3A1,\U0001f3a1
3434,🎢,Travel & Places,place-other,roller coaster,fully-qualified,E0.6,1F3A2,\U0001f3a2
3435,💈,Travel & Places,place-other,barber pole,fully-qualified,E0.6,1F488,\U0001f488
3436,🎪,Travel & Places,place-other,circus tent,fully-qualified,E0.6,1F3AA,\U0001f3aa
3437,🚂,Travel & Places,transport-ground,locomotive,fully-qualified,E1.0,1F682,\U0001f682
3438,🚃,Travel & Places,transport-ground,railway car,fully-qualified,E0.6,1F683,\U0001f683
3439,🚄,Travel & Places,transport-ground,high-speed train,fully-qualified,E0.6,1F684,\U0001f684
3440,🚅,Travel & Places,transport-ground,bullet train,fully-qualified,E0.6,1F685,\U0001f685
3441,🚆,Travel & Places,transport-ground,train,fully-qualified,E1.0,1F686,\U0001f686
3442,🚇,Travel & Places,transport-ground,metro,fully-qualified,E0.6,1F687,\U0001f687
3443,🚈,Travel & Places,transport-ground,light rail,fully-qualified,E1.0,1F688,\U0001f688
3444,🚉,Travel & Places,transport-ground,station,fully-qualified,E0.6,1F689,\U0001f689
3445,🚊,Travel & Places,transport-ground,tram,fully-qualified,E1.0,1F68A,\U0001f68a
3446,🚝,Travel & Places,transport-ground,monorail,fully-qualified,E1.0,1F69D,\U0001f69d
3447,🚞,Travel & Places,transport-ground,mountain railway,fully-qualified,E1.0,1F69E,\U0001f69e
3448,🚋,Travel & Places,transport-ground,tram car,fully-qualified,E1.0,1F68B,\U0001f68b
3449,🚌,Travel & Places,transport-ground,bus,fully-qualified,E0.6,1F68C,\U0001f68c
3450,🚍,Travel & Places,transport-ground,oncoming bus,fully-qualified,E0.7,1F68D,\U0001f68d
3451,🚎,Travel & Places,transport-ground,trolleybus,fully-qualified,E1.0,1F68E,\U0001f68e
3452,🚐,Travel & Places,transport-ground,minibus,fully-qualified,E1.0,1F690,\U0001f690
3453,🚑,Travel & Places,transport-ground,ambulance,fully-qualified,E0.6,1F691,\U0001f691
3454,🚒,Travel & Places,transport-ground,fire engine,fully-qualified,E0.6,1F692,\U0001f692
3455,🚓,Travel & Places,transport-ground,police car,fully-qualified,E0.6,1F693,\U0001f693
3456,🚔,Travel & Places,transport-ground,oncoming police car,fully-qualified,E0.7,1F694,\U0001f694
3457,🚕,Travel & Places,transport-ground,taxi,fully-qualified,E0.6,1F695,\U0001f695
3458,🚖,Travel & Places,transport-ground,oncoming taxi,fully-qualified,E1.0,1F696,\U0001f696
3459,🚗,Travel & Places,transport-ground,automobile,fully-qualified,E0.6,1F697,\U0001f697
3460,🚘,Travel & Places,transport-ground,oncoming automobile,fully-qualified,E0.7,1F698,\U0001f698
